ItemID,Sentiment,SentimentText
82,1,"@missweirdO14 Uhm, its about to my email notification here. Can u open my Twitter account? I'll email to you my password. "
83,0,@TWCWeekends  Good evenin Steph and Kim!  hope yall are havin a good evening ... even though you guys are workin on the weekends  bummer!
84,0,Just smashed my perfume all over the bathroom floor. 
85,0,Mainly gaining tonsillitis as the day goes on 
86,1,@borly d na pala apples?  how are you na borly? still shooting? 
87,0,"http://twitpic.com/7gs7w - Checking if posting from twitpic works from my browser, does not from Gravity "
88,1,@fourzerotwo Great job I hope the snow mobiles make an appearance in multiplayer 
89,1,@bevtoyou http://twitpic.com/4g8rr - Nice house 
90,0,I'M SO SAD I JUS BROKE UP WITH MY BF TAYLOR          
91,1,@ toosweet4rnr @OneLuvGurl &lt;=thank you Queen  Cheers ladies =&gt;@ladypn @photogurrl @patricia_coelho @melloma... ? http://blip.fm/~4onxf
92,1,@PleaseBeMine Thank You 
93,0,It's so beautiful out. Wishing I didn't have work for 8 hours today so I could go to the beach  workin 2-10pm 
94,1,"@ea8 Aww! Poop! Dear Eddie, because we are lamefaces. Sorry for failing. Love, Netflicks xxx. I SO would love to see that! "
95,0,I hate migraines. Cos if I don't control the pain I always get sick.  
96,1,@Sbeutler75 ahhh. ok. maybe some other time. 
97,1,"Gummy bears give you alot of energy, a stomach ache, a good grade on a paper, and a good time. You just got to LOVE them! "
98,0,The shortest ride ever. Wasn't feeling it. Letting The Crazy get to me. Turned out to be good - look at rear tire.  http://twurl.nl/8qz5bq
99,1,I love spending time with my family! 
100,1,Happy to hear Kim Clijsters is coming out of retirement! and Monica Seles will be inducted into the Tennis Hall of Fame this July 
101,1,@basseyworld oh lawd...I forgot about that one! SCARY!  
102,0,@granthine I need to find another friend with a hot tub. 
103,1,BusyBusyBusyy Empire&amp;&amp;MML&amp;&amp;Bianco's&amp;&amp;Sleepover&amp;&amp;WarehouseThingyy  FunFunFunn  xx
104,1,"needs to do some work. @jessicup, i think i may come brighton on saturday! "
105,1,@greekdude Yay you finally got it!  I apologize if it wasn't as informative as your postcard..
106,1,For you who like Barbados updates ordered currency today I thought we had done it weeks ago but we had forgot  just need to order sunshine
107,0,"Wickenden St do you really have to be so loud? I had a long night, please let me sleep for another hour..kthanks. "
108,1,I got an idea.  just don't start up the clock again just yet
109,0,@phinnia I know   I love reading about extinct species but at the same time it makes me sad. The Carolina parakeet makes me angry.
110,1,@shwood Just watched Scam School @ SXSW. Very interesting stuff... I need to read about reading people  Just wish you explained the tricks
111,1,@luclatulippe wave at us down the street! 
112,1,@AskWifey  Good Morning as well 
113,1,says hello to the people on facebook.  http://plurk.com/p/1104ia
114,0,Sunshine  have I mentioned I hate summer ?
115,1,@markjohnsen95 u is not popular 
116,0, woke up with major heartburn    owww.
117,1,Movie it is...tweet ya later 
118,1,@Illendil  some great tweets. add the #applertc hashtag then we can all see them...  Please 
119,1,I'm watching a soccer match 
120,0,@wyllie Good thinkin! They only had bagels and danishes though.  @RealityTruck They took em back. Would look like granny shades anyway.
121,1,professional and lgm ALL DAY TOMORROW!! thats gonna be exhausting...but well be sooo hiper!! haha i love it 
122,0,i don't think i do it intentionally.. it's just a reflex/reaction to studying.  haahahahaa.
123,1,Excited to hear dates of The Sats &quot;Work&quot; signings!  @jaynecollinsmac
124,0,@beckyystarzzz they dont play the full song though! thats what does my head in 
125,0,feels sad for Madonna - she fell off a horse &amp; is hurt  Didn't that happen to Patrick Swayze? Is he ok now? Wonder if he's on Twitter!:..
126,0,OH: my last day off: may 23. my next day off: june 8. fml.  http://tinyurl.com/n5mfzy
127,1,"Making a quick smoke run, and possibly getting some tasty snacks. "
128,0,@EllaPaigeBabe hi babe! how are u? why didnt u come online since ages?  u just tweet once in a whole day! u used to be more on a month ago
129,0,REALLY WISHIN i was in Cali.  1. For Taco Shop is San Diego (YUM!) and 2. For the Jay-Z/Eminem show is LA. (Sighh)
130,0,Overslept!  Still got to shower then head upto the gay pride fest in Portland! Feel bad 4 hubby... He's coming down with something. 
131,1,"@Saracen5 Tee hee!  Yeah it does, but they're good! "
132,0,"guess what, i'm bored. "
133,1,@TheRealJennifer Amazing job tonight! You voice is a gift from God to this Earth. Sorry about the audience 
134,1,YoVille is boring. No offense. 
135,1,God... Carnesecca's class was so amazing... I did stand up comedy the whole time. 
136,0,Its only 2:20  why must the day drag.. http://myloc.me/4meo
137,1,@TraceCyrus looks really HoTT on that pic!! 
138,1,To see Brittny smoke a cigarette is a crazy thing to see still. lol. 
139,1,"@DanBorley but I'm a girl, I'm allowed to be like that "
140,1,"@jonasbrothers http://twitpic.com/6q1om - OMG, you're my life   CHILE LOVES YOUâ™¥"
141,0,the titty fairy hates steffi. awh 
142,1,"@TheRealNobody YAY! haha i was listening to your stuff... you got some skills, kid "
143,1,"@joshatudd Nah, that was just my Flash rant in general.  BTW, are you available for contract work anytime soon?"
144,1,I feel like shit today :/ I hope I'm not getting sick. I get to see my babby finallly 
145,0,couldn't get the video to upload &amp; is too* drained. www.CierraJ.com. Night Night. Blessings 
146,1,@BETHsaysRAWR WOOT WOOT! I bet you've passed cos you're clever see 
147,0,@CassieMusicBlog u online? plz go click that link and DM wht its all about. im on my phone at school  [http://altpress.com/news/7131.htm]
148,0,had a nightmare about my dissertation's results... urgh 
149,1,says KAIXIN kept JiHoo-ing today  http://plurk.com/p/xu5ff
150,1,"@nheaney thanks, yep propane. Wife got it by mistake, can't return. I've emailed pictures to Calor to be sure of the correct regulator "
151,0,Wanted to get back in time to make @Arrichion_girl's 4:30 class but running behind! So much for a birthday week of Bikram with @ktforres 
152,0,@_hayles  where IS he?! we have needs!! xx
153,0,I think shopping solves the world's problems. If only I didn't have to leave Atlanta tomorrow 
154,1,@EarthLifeInst  This is my time out 
155,0,I want to go to the gym.  Need to feel that muscle burn!!! Stuck behind a desk 
156,1,excited for tomorrow.. my tita &amp; grandpa will visit us and will stay for 1 week 
157,1,is eating cherryss 
158,1,byee people 
159,1,@johncmayer OMG! your tweets are so hilarious! 
160,1,@mileycyrus http://twitpic.com/4ukqe - you are so beautiful miley i hope you will come back to germany this year  i canï¿½t wait to se ...
161,1,@selenagomez Hi Selena!  Saw u walking along Burrard St about an hour ago.  Didn't want to bother u but hope u had a good night!  
162,0,TwitPic not working for me from the Blackberry 
163,1,"@JoeJGirl2009 yeah , LOTS OF STUFF OF HSM U HAVE!  whats up?"
164,0,@TaiSaintBoogie I agree ... Please forgive me 
165,0,"Chrissy Marquette &amp; Paulie Dano, u cute little fuckers are goddamn love to me. Emile Hirsch... u make me a sad panda. You broke my heart. "
166,0,"Well, looks like I'm moving again. "
167,1,but i got that great idea for my one story and yeah! haha i told u last night. u know that one with Ashley and yeah.....haha 
168,1,Didn't do so hot.  Off to babysit!    Then maybe I'll finally get to some Band of Brothers w/surround sound   #bestdayofmylife
169,0,aww... have to go na  Bye! I'll tweet tomorrow! :**
170,0,Wow it's been a bad day 
171,1,@captainkirt Welcome. 
172,0,http://twitpic.com/7ooez - Los Angeles area - pit bull Mickey needs home. Can't get pic to work 
173,0,"It's Friday, nothing to do, and it's boring "
174,1,@markhoppus  DUDE YOU ARE BY FAR THE COOLEST MUSICIAN IVE MET AND IVE MET ALOT...HOPE TO TALK TO YOU AGAIN SOON! 
175,0,Good campout. Needed more sleep though 
176,0,@zimmermanem i'm still at work! 
177,1,"@StephanieMxx Yeah, I try 2 chat wif all too. It can b hard to find tweeps online @ the same time sometimes "
178,1,In Glasgow and loving the sunshine  xx
179,1,is making bacon and eggs. 
180,1,Guess you don't need a car after all  xoxoxo. @marksadam
181,1,@vineethjose yeah! How did you know? 
182,0,Pretty terrible driving weather to Austin. 
183,0,@kaatiemich   are you serious?  I remember them being free.  
184,0,@EmilyyBrowningg have fun!!oh...ur not gonna be on much right???Im gonna b alone   HAVE GREAT FUN!u earned it!!i mean..UNINVITED!!=p
185,1,Okay fine. I like it a little more. Only chapter 15 on the final.  having 3 differene teachers for one class has its benefits.
186,0,Day 2 of the grand internet outage 
187,1,@MizzRee Well those things can come into play....once I have my sammich 
188,1,ronnie's back in the world. HAY! 
189,1,at dinner with some good friends 
190,0,Crazy busy morning 
191,1,@JaysonJPhillips Hey Jay. How's it going? 
192,1,woooooow she got it! @MsUnique_Jazzy yes Trey Songz(@SongzYuuup)'s smile makes me melt 
193,1,@tashalogan that's good I don't know where you are in this country and I don't need or want any surprise attacks 
194,0,@thevfirmpr yes ma'am! CAU! I'm in Detroit 
195,0,China seems to be ramping up harassment of activists ahead of Tiananmen anniversary  #fuckgfw
196,1,home from riding with mike and david. Still loving the skinny jeanz  WOO!
197,0,the was not there..wtf..wanna see her on friday..but it'll cost so much..just 4 an autog. mhh dont know what 2 do 
198,0,such an emotional day. Crazy. And all of my friends got to hang out. I hardly ever seen anyone 
199,1,"Just a day at the office,   http://twitpic.com/69dmf"
200,1,http://bit.ly/Yyaug   @mileycyrus omg its soo cute *.* who is that boy?? 
201,0,Im a bad tweet.  
202,0,"The Atlanta aquarium closes at 5 PM on weekdays, darn I wanted to go there. On top the ATL Braves are not playing home this week "
203,0, Either my Video Card died or my DVI cord went down the drain...
204,1,@_RobPattinson_  that is all right  spelling is not usually one of my strong points  genies are cool too 
205,0,my entire body feels like i've worked out 24/7 for the last week and i didnt! i hurt soooo bad!  i dont get what is going on.
206,0,"is very tired, long day yesterday. Only today and half day tomorrow to get through then its the weekend! Where I'm working right through "
207,1,@ComedyQueen byeeeeee 
208,1,going to disneyland with alex 
209,0,"@sylviiax0 it just finished, it was on at 9  ahah"
210,0,omg weve left nick jr aka the teddy were so gutted 
211,0,@PhelpsAnonymous aww now im sad that i cant go ya know it being in London and all.  stupid ocean lol.
212,1,"I have puppies on my mind... always. But espesh after this weekend. Ellie, Luna, and Lily are the luckiest little babies ever "
213,0,@paulaa95 yes they do 
214,1,"I WANNA GO THERE, WHERE YOU GO. I WANNA FIND OUT WHAT YOU KNOW..     DAVID AND MILEYYYYYY! ??"
215,1,"@ebassman hug me at jones bech, the count down is on "
216,1,@BritneySpears and @LadyGaGa are following me  Yeaaah &lt;3
217,0,I was supposed to register so I can vote but Comelec was closed.  Hassle.
218,1,"Colby said the sweetest thing. He said, &quot;Honey, you are a natural photographer.&quot; It makes me feel special since it came from him "
219,1,@verwon Your welcome 
220,1,i like them too 
221,0,I am a douche bag magnet 
222,0,"@antzpantz yes, yes it does. Crappy synth piano beginning and en with some standardish bloc party in the middle "
223,1,@pambeeslyjenna Happy Sunday to you too! 
224,0,@springlamb what elaine is saying may be true look at their website  i cant find any real up to date news !
225,0,I wish I had ice cream. 
226,0,I have a feeling it's going to be a long day at work 
227,1,@wbgookin Hear you on that. But you'll definitely feel better after!  #shredheads
228,1,what's your Erdos-Bacon number? http://bit.ly/5OGA0  - fantastic 
229,1,I couldn't be happier 
230,1,@VividVisions we won't fix that as it's a safari 4 beta bug -- you can help make the web better by submitting a bug report to Apple... 
231,0,I have the worst headache right now 
232,1,Hart Park today  (via @Lampskee)
233,0,e and care like eveyone else 
234,0,one of my friends ACTUALLY has swine flu. poor him 
235,0,my dog ate the cord to my computer...No more twitter at hom for me...  
236,1,@TaraBabcock What do I get if I win? 
237,1,official bye.  http://plurk.com/p/viaqz
238,1,@gwensmokey thanks and congrats! 
239,1,But wait there's more !!!! .............2 life 
240,1,"http://twitpic.com/67iq1 - New grad! left to right: son's girlfriend, son, daughter "
241,1,@blackjackjoe - ok. Thanks!  
242,1,And I can't even claim it on my tax return! WTF!  Jackie 
243,1,I'm watching 7 Pounds with the hubby  I'm so glad he is home!
244,0,Is such a bate twitter noob  lol
245,0,@ColeBennett  oh ..nm I chased it down   http://twitter.com/theoneinpink .. date 5/30/2009 2 hours ago
246,0,are you kidding me??............how can someone sitting on your hand result in this much pain???still can't bend my thumb 
247,0,Another afternoon of waking up at 2 pm. 
248,1,@michelpoulain Bon courage pour Magento ! 
249,1,"@tathamoddie which part, just the &quot;sexy googles&quot; comment? "
250,0,@PaperCakes that's too bad 
251,1,just finished English exaam not manyy left now woo 
252,1,Yay...Sunshine...!!! 
253,1,@candiceshane Glad you got some sleep..looking forward to your new articles 
254,1,"Star Trek a few weeks ago, Terminator this week, Transformers in a couple of weeks time! It's a sci-fi fest out there people "
255,0,@quotidianlight did he not show? 
256,0,im sad the hills is over 
257,1,@itsTRG 
258,0,Wants a new closet. A big one! 
259,1,"Have you noticed the more you try to &quot;control&quot; your life, the more it seems you lose control. Just breath..... "
260,1,procrastinating. going in the jacuzzi. show at 6. 
261,0,"Good morning twit fam..please pray I make it thru this day, I did not sleep at all. It was a rough night "
262,0,Am exhausted and sick 
263,1,@rodney91 http://twitpic.com/4i3g6 - i love that game  xxxx
264,1,@geezerbird bloke walks into the bar and asks for a double-entendre - so the bar man gives him one... (old I know) 
265,0,"@rabbittdays that sounds nice!  who got to watch Zin?  i am jealous of them!  if i was there, i would get to hang out with her! "
266,1,@melry217 http://twitpic.com/6jc1k - Awwww nice picture 
267,1,Night MoMo!!! Can't wait to see your hurrrrrr 
268,1,@danishk hehe! that's the very reason i called it the quits! not been exercising for a while now! 
269,0,my tummy hurrrrts  im never having coconut pie for breakfast again!
270,1,Finished watching Gokusen 3. Good night twitterverse. 
271,0,i dont like it when people steal my 3g card 
272,1,@BrittyCupcakes no way!! too fun  AAR and FOB are on that date si?
273,0,still no email 
274,1,Just got home from filming with the @pwndcast Crew!! &lt;3 So much fun. Can't wait to do it again!! 
275,0,is attempting to pack arghhhhhhhhhhhhhhhh 
276,1,@Jo_Saunders09 omg that was amazing lol they're soooooo clever ...and yea my mum wants them to win...they're so funny n I love shaun 
277,1,"@calieblondie Hi baby, I had a beautiful time last night on our date. "
278,1,@MrHappyTits Good times indeed 
279,0,@princ3sskrys10 I never got any of the dolls either  I don't know where my books are. Maybe we sold em...
280,1,"hello. went to church, has a juicy couture crisis right now haha,long story. studying&amp;school stuff b4 MtvAwards tonight  yay."
281,0,"Well, got a funeral to attend today for one of the sister's mother  But on the bright side may be visiting mine in Aug if all goes well!!"
282,0,"@Pink : Hello Pink, i wanted to let you know that i missed out on seeing you this time  I was sad and heard you from the Burswood"
283,0,lexi slept in too long and missed playing on the waterslide at daycare. i feel like a bad mommy. 
284,1,Watching Dane Cook Vicious Circle before SNL. 
285,0,@atlantabarstarz hey now those r the only nights I'm in town so that's all I got 
286,1,Addicted to 'Just Like A Pill' by Pink. 
287,1,Guinness got 2 'new' toys from mom and dads house.  Hooray for free stuff 
288,1,crazy night. on the way to the beach to meet up with nicole 
289,0,Last day of shopping.. tomorrow back to life.. back to reality.. 
290,1,"@gingernaps Whee! Love you!  Especially since I have to wait for R2 - wish I had a region free laptop, maybe when I win the lottery... hee"
291,0,Apparently Lady Gaga was in sg. Am heartbroken. 
292,1,"@kittty like old times: &quot;i do, i do...&quot; "
293,0,Just slept for 7hours tryna subside the fact my bb iis broken to the point it has to get replaced! No extra dispÃ²sable income 
294,1,"has faith that Jon &amp; Kate will be OK  god bless , g'night &lt;33"
295,1,@chelseafuss I LOVE Funny Face! Can't even count how many times I've seen it 
296,1,@SnootyPaws What will they think of next lol 
297,0,Brokeback Mountain was one boring show â€¦ well at least they had super the cute actors â€¦..
298,0,@lightsresolve 
299,0,"@jasonwebley Oh to be able to fly to seattle! You, AFP and Rev Peyton? "
300,1,"@KYAnnie1 LOVED IT!  Did you see Nancy O'Dell's hat??  OMG, I loved it!  Mine That Bird totally came up out of nowhere.  Very exciting! "
301,1,@brittannica oh no i cant watch the vid coz it says there was a copyright claim by NHK  D: not fair!!.....woo the whole song! its awesome 
302,0,"oh masterchef, wtf am i going to do when you finish "
303,1,"@clarkalastair - I'm not sure why anyone would think I'm a &quot;must follow&quot; or &quot;really important&quot;, but I'm very grateful.  Thanks!  "
304,0,"is really really missing amsterdam,urg my heartbreaks if i think about it to much "
305,0,Time 4 dinner! think i wanna b wined and dined today. Problem is: I dnt have anyone 
306,0,just got back from kickboxing class. instead of calling it &quot;turbokick&quot;...they should call it &quot;turbokick my butt&quot; cause it's stupid hard!! 
307,0,Voodoo doughnuts was just on the travel channel. Crazy combos but I sooo want some. Only in Oregon though.  http://tinyurl.com/4eytnz
308,1,@alixito I have not bought a car yet.  Wasn't quite ready to need to buy one so NO IDEA what I want.  It's actually kinda fun to look 
309,0,@Nick_Nihiser needs a hug..  so be nice to him or else i'll come after you while you're sleeping. Legit fools.
310,0, never thought it'd be like this.
311,1,listening to hey monday  6 Months is my new favorite song.
312,0,"I am still going through all the stuff in my room, there is no place to put it! I have no shelves "
313,0,where te hell is the postman with my f@#!ing @mosdef album?!?! its been nearly two weeks 
314,0,"One exam down, one to go. Geography is a bitch. Science is it's close cousin. I really don't like exams. Not one bit. "
315,0,@zokathepuppy @saxa246 He is back and I need to leave...   I'm way too tired!
316,0,I want to do something tonight but probably wont happen 
317,1,"@donttrythis I think I almost exploded. Never seen an ott-babeh before either, thanks "
318,0,I can't ever motivate myself to wear makeup...It's not that I don't like it..it's that it never comes off my eyes and hurts me 
319,0,going to bed in a miserable mood 
320,0,My picture won't be displayed 
321,1,im really2 sleepy now. coughing non stop. Going swimming later 
322,1,@katerz20 thank you! part 2 should be up in a few days!  -gaby
323,1,@thelane afternoon  are you well?
324,0,Work finito for the evening.....gonna get up and do it again in about 5 hours 
325,1,Congratulations to all the winners last night. Big thumbs up to @mileycyrus congrats on the award. you deserved it 
326,0,Just fell in love with some red stilettos. But they aren't in my size. 
327,1,"10 more mins a dude is oFF from work, hope its a beautiful weekend for the next 2 days "
328,0,"Arrrgh noo, I left my ipod at home  Now I've got that horrible feeling you get when you forget your watch..."
329,1,"I had 2.5 hours of sleep last night, and I was late for work, but I did win some money last night "
330,1,"am i too obsessed with the jo. bros? and miley cyrus is my idol  demi,selena,taylor as well."
331,0,@victoriavuong yeeeeee. hada do this 1 since im frikken missing the nike one  im excited for this one tho!
332,1,Wondering how bad the V5 boys are feeling at this very moment. Hope they had a good night although the tweets don't look encouraging 
333,1,Paula Dean would bow down 2 my cooking 
334,0,"@RyanSeacrest ryan, u broke my heart  at idol u told me ud marry me and now u forgot me!!!   "
335,0,@ThisThatBeauty @MyOwnJudge Leave it to my NY/NJ gals to be on it with the updates. My Google Reader isn't showing them yet. 
336,0,back at college!  back to politics lessons
337,0,Hangover was sold out  seeing terminator now
338,0,"lol, my grandson thinks it is funny to grap my cell phone and throw it  "
339,0,@streetanchor hmmm  true.. will start wen i m well equipped.. my heart bled to learn tat there re no tigers left at panna reserve sob sob
340,0,sounds bargain I has lost hers 
341,1,@steviesofly http://bit.ly/MWX6x   you will love this video 
342,1,#Followfriday! All my girls... @Xxxwhiplashxxx @missred187 @shanita911 @barbalicious @hannah_grenade @mia_ria (and some non-public ones 
343,1,@Debbie3526 thnx for follow me. im following you. 
344,0,Sitting at the dentisi 
345,1,@sparrowstudio They turned out great! And I had a killer workout before-hand so no guilt 
346,1,freedom!!!!! glorious glorious freedom 
347,1,@TiffanyNicole25 I feel like that's what my problem is! I haven't had any Tiffany in years! Some good old after church love 
348,0,@1capplegate wow those are some sad looking cats! 
349,0,I am so bored tonight. NOT content sitting on the couch doing nothing. 
350,1,"http://twitpic.com/6ctke - Somehow, i â™¥ this pic "
351,0,@nursebettie666 I miss manny and buffy the vampire slayer                   I want ice cream now!
352,1,writing is going well.. AFG soon yay 
353,0,Alas i have no headbands nor do i have a car to go buy some. My pretty will just have to wait to get his kitty ears.   sorry Rayne...
354,1,[-O] Another damp and rainy day here in Sicily. Feel like sneaking into bed and sleep all day  Wish I coul.. http://tinyurl.com/kjmjx4
355,1,@katemthompson and I hope your wish will come true 
356,1,@eviejb well played. 
357,0,@scalps I just completely realized that I... will never not love fandom 
358,0,@_jess_o_ omg that sucks! I'm sorry. 
359,1,had a great weekend. so much fun ;) ha ha. Can't wait to hear Miley's hugeee announcement 
360,0,@bafic yeah but it didn't make the soundtrack 
361,1,@janniesTWbox But the dip keeps following me!  Neh gaat alweer stuk beter gelukkig. Just one of those days!
362,1,@plasmaegg @holyshiitake we have another #stupidclub member.. @MC_mahon .. we are so full of win and stupid! 
363,0,"@brighteyedlua with some bud, i think we've only got shitty kronenberg tho "
364,0,"@SuNrIseGirL02 Omg really? See, I knew you could do it, and I bet you did great! So glad you had fun! Missed ya too "
365,0,@ashley_rose sorry. 
366,1,"@_ClaireBear_ I'm fabulous!!  Trying to get you up to 300 followers.  Well, you and @werewolf_Paul, but I bet you'll win!!    How bout u?"
367,1,@heatherleanne Your job makes you sexually frustrated? do tell. 
368,0,My flight info has been forgotten 
369,1,@Jeslikeme saw them all already. Pretty cool! Looks like it was a special day 
370,1,"@Roninjinn Fella, you'd make an outstanding online news editor "
371,1,@hollyheartsnick I'm fine !  What are u doing today ?
372,0,"@singlindsay congrats! I was going to audition, but it didn't happen "
373,0,@beayayaya Yesssh converse all the way  Iya nih huh we should go smwhere together! LOL gw gmau pulang nih dr Bali  Betah!
374,0,so im going to protest tomarrow. there building a baseball stadium where a park is. all the trees are getting cut down 
375,0,i am really not enjoying this lonely night in tonight 
376,1,"Good morning twitters  who wants coffee,  cafe con leche?"
377,1,"@MERutherford so, whatcha up to today? "
378,1,going to my parents now wish everyone a great sunday 
379,1,Off for a yummy BBQ  Talk later peeps ! BONES &lt;3 @AgentBooth enjoy your run  @AgentSullivan have a hopefully safe and nice day LOL
380,0,"Crap, forgot my iPod. Now I either listen to blowhards on AM or commercials on FM.  "
381,1,I love half daysss 
382,0,I just ate some Chocolate ice-cream out of the tub and am now suffering from brainfreeze 
383,1,@TheReda Ð£Ð´Ð°Ð»Ñ?Ð¹ Ð¼ÐµÐ½Ñ? Ð¿ÐµÑ€Ð²Ñ‹Ð¼! Ð›ÑŽÐ±Ð»ÑŽ Ð¿Ð¾Ñ?Ð»Ðµ Ð¾Ð±ÐµÐ´Ð° Ð¿Ð¾Ð±Ð¾Ð»Ñ‚Ð°Ñ‚ÑŒ Ð½Ð° Ñ€Ð°Ð·Ð»Ð¸Ñ‡Ð½Ñ‹Ðµ Ñ‚ÐµÐ¼Ñ‹ 
384,1,I'm going to my friend's baby shower today  The first of 3 this summer!
